account_id,account_name,industry,country,signup_date,referral_source,plan_tier,account_seats,is_trial,churn_flag,mrr_amount,arr_amount,subscription_seats,total_subscriptions,usage_count,usage_duration_secs,error_count,total_tickets,resolution_time_hours,first_response_time_minutes,satisfaction_score,escalation_flag,churned,tenure_days,seat_utilization
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,1260.3,15123.6,31.2,10,535,152339,38,2.0,23.0,91.0,3.0,0.0,1.0,550,3.466666666666667
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,1260.3,15123.6,31.2,10,535,152339,38,2.0,23.0,91.0,3.0,0.0,1.0,550,3.466666666666667
A-43a9e3,Company_1,FinTech,IN,2023-08-17,other,Basic,18,False,True,1250.5,15006.0,22.0,8,355,101136,14,3.0,38.0,73.33333333333333,4.0,0.0,0.0,976,1.2222222222222223
A-0a282f,Company_2,DevTools,US,2024-08-27,organic,Basic,1,False,False,1219.0666666666666,14628.8,18.8,15,821,251210,48,3.0,43.666666666666664,63.666666666666664,4.666666666666667,0.0,1.0,600,18.8
A-0a282f,Company_2,DevTools,US,2024-08-27,organic,Basic,1,False,False,1219.0666666666666,14628.8,18.8,15,821,251210,48,3.0,43.666666666666664,63.666666666666664,4.666666666666667,0.0,1.0,600,18.8
A-1f0ac7,Company_3,HealthTech,UK,2023-08-27,other,Basic,24,True,False,1325.0,15900.0,29.857142857142858,7,382,102528,21,2.0,29.0,174.0,0.0,0.0,1.0,966,1.244047619047619
A-ce550d,Company_4,HealthTech,US,2024-10-27,event,Enterprise,35,False,True,5417.888888888889,65014.666666666664,47.111111111111114,9,579,215779,31,7.0,42.285714285714285,107.85714285714286,3.8,1.0,1.0,539,1.3460317460317461
A-1b9609,Company_5,EdTech,IN,2023-10-12,ads,Enterprise,4,False,False,1528.1818181818182,18338.18181818182,19.545454545454547,11,457,140541,21,4.0,43.0,74.75,3.0,0.0,1.0,920,4.886363636363637
A-1b9609,Company_5,EdTech,IN,2023-10-12,ads,Enterprise,4,False,False,1528.1818181818182,18338.18181818182,19.545454545454547,11,457,140541,21,4.0,43.0,74.75,3.0,0.0,1.0,920,4.886363636363637
A-1b9609,Company_5,EdTech,IN,2023-10-12,ads,Enterprise,4,False,False,1528.1818181818182,18338.18181818182,19.545454545454547,11,457,140541,21,4.0,43.0,74.75,3.0,0.0,1.0,920,4.886363636363637
A-a0ca4e,Company_6,Cybersecurity,US,2024-03-08,ads,Pro,11,False,False,1848.111111111111,22177.333333333332,19.555555555555557,9,373,116964,14,6.0,39.166666666666664,89.83333333333333,3.8,3.0,0.0,772,1.777777777777778
A-e5d6ab,Company_7,EdTech,US,2023-04-15,partner,Pro,3,False,False,1304.8,15657.6,18.9,10,382,111506,23,3.0,42.666666666666664,57.0,0.0,0.0,1.0,1100,6.3
A-e5d6ab,Company_7,EdTech,US,2023-04-15,partner,Pro,3,False,False,1304.8,15657.6,18.9,10,382,111506,23,3.0,42.666666666666664,57.0,0.0,0.0,1.0,1100,6.3
A-7dacce,Company_8,Cybersecurity,CA,2024-09-10,event,Enterprise,12,False,True,2305.7,27668.4,21.6,10,472,145429,29,4.0,32.5,75.25,3.6666666666666665,0.0,1.0,586,1.8
A-7dacce,Company_8,Cybersecurity,CA,2024-09-10,event,Enterprise,12,False,True,2305.7,27668.4,21.6,10,472,145429,29,4.0,32.5,75.25,3.6666666666666665,0.0,1.0,586,1.8
A-7dacce,Company_8,Cybersecurity,CA,2024-09-10,event,Enterprise,12,False,True,2305.7,27668.4,21.6,10,472,145429,29,4.0,32.5,75.25,3.6666666666666665,0.0,1.0,586,1.8
A-10b8da,Company_9,DevTools,US,2023-05-08,partner,Enterprise,14,False,True,1464.5,17574.0,19.333333333333332,6,257,73818,14,3.0,31.333333333333332,71.33333333333333,3.5,0.0,0.0,1077,1.380952380952381
A-592832,Company_10,Cybersecurity,US,2024-09-25,organic,Basic,18,False,True,1714.2631578947369,20571.157894736843,27.63157894736842,19,1053,326283,55,3.0,32.666666666666664,80.66666666666667,5.0,0.0,1.0,571,1.5350877192982457
A-d40bf7,Company_11,FinTech,IN,2024-11-08,organic,Basic,59,False,False,4324.7,51896.4,59.0,10,562,150186,22,2.0,20.5,125.5,5.0,0.0,0.0,527,1.0
A-6c093d,Company_12,DevTools,US,2023-04-14,partner,Basic,7,True,False,1353.5,16242.0,19.75,12,670,217275,30,3.0,40.333333333333336,68.33333333333333,5.0,1.0,0.0,1101,2.8214285714285716
A-462d45,Company_13,Cybersecurity,US,2024-01-15,partner,Enterprise,11,True,False,1952.6666666666667,23432.0,37.25,12,642,159561,26,4.0,26.75,95.0,4.0,0.0,1.0,825,3.3863636363636362
A-956988,Company_14,EdTech,UK,2024-11-30,ads,Enterprise,1,False,False,2262.076923076923,27144.923076923078,29.76923076923077,13,658,173232,49,2.0,50.5,118.0,3.0,0.0,1.0,505,29.76923076923077
A-956988,Company_14,EdTech,UK,2024-11-30,ads,Enterprise,1,False,False,2262.076923076923,27144.923076923078,29.76923076923077,13,658,173232,49,2.0,50.5,118.0,3.0,0.0,1.0,505,29.76923076923077
A-ac14bb,Company_15,FinTech,US,2023-09-08,partner,Enterprise,21,False,False,3468.25,41619.0,31.25,8,531,170826,42,2.0,24.5,30.5,4.0,0.0,1.0,954,1.4880952380952381
